	M23588MILK	M24590MO1	M24527MO1	M24358MO1	M24440MILK	M23619MO6	M24087MO1	M23989MO6	M24539MO1	M24575MILK	M2440MO1	M25262MO1	M24607MO1	M23788MO6	M23113MILK	M22258MILK	M21954MO1	M24382MO1	M23557MILK	M23378MO1	M23910MILK	M22281MO6	M23971MILK	M23315MILK	M23497MILK	M23625MILK	M23912MILK	M22014MILK	M22114MILK	M23927MILK	M22049MILK	M22025MILK	M23472MILK	M21991MO6	M23431MO6	M23978MO1	M22114MO1	M22049MO1	M24250MO6	M23111MILK	M24539MO6	M24239MO6	M21909MO6	M22999MO1	M23515MO1	M22368MILK	M24416MILK	M22507MO6	M23141MO1	M22600MO6	M24250MO1	M23203MO1	M23521MILK	M23252MO1	M22999MO6	M24430MO6	M24690MO6	M25290MO6	M22507MILK	M22368MO1	M23278MO6	M21969MO6	M22200MO6	M23773MO1	M23278MILK	M22976MO6	M23521MO6	M24466MO6	M23802MO1	M23378MO6	M21864MO6	M23773MO6	M22254MO1	M23468MILK	M22976MILK	M23772MO6	M24714MO1	M23141MILK	M23927MO6	M24482MO1	M23625MO6	M23361MO6	M23493MO6	M23690MO1	M22631MILK	M21971MO1	M23496MO6	M22678MO1	M22631MO1	M23978MILK	M23203MILK	M23361MILK	M40027MO1	M23515MO6	M25003MO1	M23252MO6	M24377MO1	M24123MO6	M22312MO6	M22239MO6	M22114MO6	M23910MO6	M22671MO6	M24326MO1	M23778MILK	M22281MILK	M25027MO6	M21971MILK	M23690MO6	M23971MO6	M23802MO6	M21954MILK	M23828MILK	M24017MILK	M23772MILK	M23537MO6	M24885MO6.MAY	M22999MILK	M23472MO6	M23203MO6	M24527MO6	M24087MILK	M24734MO6	M24429MO6	M24885MO6.JAN	M21942MO6	M25262MO6	M22751MILK	M22800MO6	M24405MO6	M23927MO1	M25183MO6	M25142MO6	M24590MO6	M23113MO1	M22239MO1	M24416MO1	M23993MO1	M23405MILK	M23111MO1	M22600MO1	M22751MO6	M30004MO6	M24963MO6	M24754MO1	M24087MO6	M24754MO6	M22779MO1	M22799MO6	M23670MO6	M24060MO1	M23557MO1	M22254MILK	M24482MO6	M24492MO1	M22582MO1	M23588MO1	M24057MO1	M22310MO1	M23910MO1	M23557MO6	M21954MO6	M22310MO6	M23493MILK	M23670MO1	M22098MO1	M24396MO1	M23670MILK	M23378MILK	M23922MO1	M23090MO6	M23989MO1	M22620MO6	M22751MO1	M22800MO1	M23995MILK	M22671MO1	M23619MO1	M22014MO1	M23705MO6	M23472MO1	M24396MO6	M21950MO6	M40027MO6	M25237MO1	M23269MO1	M23978MO6	M23373MO1	M24416MO6	M24483MO1	M23537MO1	M22014MO6	M24888MO1	M22254MO6	M30004MO1	M22678MO6	M24714MO6	M30007MO1	M23468MO1	M23693MO1	M22726MO1	M24466MO1	M22800MILK	M25188MO6	M24607MILK	M23269MILK	M24237MO6	M24572MO1	M23054MO1	M24017MO1	M24405MO1	M23243MO1	M22049MO6	M24542MO6	M24731MO6	M21909MO1	M22976MO1	M23912MO1	M23090MO1	M21950MILK	M22620MO1	M24326MO6	M25159MO6	M22098MO6	M21942MILK	M25154MO6	M24239MO1	M23278MO1	M22784MO6	M23041MO1	M22507MO1	M30009MO1	M24430MO1	M24731MO1	M22368MO6	M22410MO6	M25069MO6	M23962MO1	M23041MILK	M21900MO6	M30009MO6	M22200MILK	M24575MO6	M23373MO6	M23405MO1	M25142MO1	M24719MO6	M23090MILK	M23922MO6	M23588MO6	M23111MO6	M23989MILK	M23477MILK	M22671MILK	M22726MILK	M23922MILK	M21950MO1	M22258MO1	M22498MO6	M22777MO1	M23497MO6	M22777MO6	M21983MO6	M24378MILK	M24377MO6	M22312MO1	M21900MO1	M23962MO6	M23243MO6	M23041MO6	M22098MILK	M23002MO1	M22781MO1	M23315MO6	M21909MILK	M30001MO1	M23586MO6	M23243MILK	M24326MILK	M22025MO1	M22582MILK	M21983MILK	M23148MO1	M23316MO1	M23619MILK	M22600MILK	M23054MO6	M21969MO1	M24440MO6	M23269MO6	M23586MO1	M24378MO6	M24057MO6	M23693MO6	M23802MILK	M22620MILK	M23690MILK	M23252MILK	M21942MO1	M24239MILK	M24690MO1	M23995MO1	M24835MO1	M21983MO1	M22312MILK	M24429MO1	M24250MILK	M23468MO6	M22200MO1	M24719MILK	M24396MILK	M24060MO6	M21991MO1	M24492MO6	M24676MO6	M21900MILK	M24676MO1	M23315MO1	M24731MILK	M22777MILK	M23772MO1	M23373MILK	M21978MILK	M24719MO1	M24163MO1	M24123MO1	M25183MO1	M23477MO6	M23788MO1	M23995MO6	M21864MILK	M23496MILK	M21991MILK	M23148MILK	M23537MILK	M25027MO1	M25159MO1	M24262MO6	M23912MO6	M23405MO6	M23521MO1	M25069MO1	M22726MO6	M24734MO1	M23625MO1	M24607MO6	M24430MILK	M23148MO6	M24885MO1	M23586MILK	M22678MILK	M22310MILK	M21978MO6	M24237MILK	M24575MO1	M25244MO6	M23113MO6	M22582MO6	M24057MILK	M22025MO6	M22784MILK	M25154MO1	M22410MILK	M24378MO1	M24358MO6	M23705MO1	M23431MILK	M23496MO1	M23477MO1	M23773MILK	M23639MILK	M22281MO1	M23002MILK	M30001MO6	M24181MO6	M24382MILK	M21969MILK	M24466MILK	M24572MILK	M23002MO6	M21864MO1	M21978MO1	M23971MO1	M24262MO1	M24405MILK	M22498MILK	M24163MO6	M22799MILK	M23054MILK	M22239MILK	M23705MILK	M24542MO1	M24382MO6	M23497MO1	M23431MO1	M24237MO1	M24492MILK	M22631MO6	M24835MO6	M24888MO6
NR_029221.1_Peptococcus_niger_strain_DSM_20475_16S_ribosomal_RNA_gene__partial_sequence	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025364.1_Actinomyces_urogenitalis_strain_CCUG_38702_16S_ribosomal_RNA_gene__partial_sequence	0	2210	0	0	0	0	33	0	419	0	0	1102	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	13	0	0	0	0	0	0	0	1	0	0	397	0	0	0	0	0	0	0	405	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	16	0	0	0	3	112	0	0	0	0	51	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	1	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025230.1_Megasphaera_micronuciformis_strain_AIP_412.00_16S_ribosomal_RNA_gene__partial_sequence	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3575	0	0	0	0	0	0	0	1	1	0	1	0	0	1502	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	96	0	20	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	80	0	0	0	0	0	76	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	766	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	706	0	0	0	316	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	108	0	0	0	0	0	0	0	1	0	0	0	114	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024683.1_Eubacterium_multiforme_strain_JCM_6484_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024665.1_Staphylococcus_caprae_strain_ATCC_35538_16S_ribosomal_RNA_gene__partial_sequence	3981	32	41	103	2090	4	2917	1	224	492	1308	44	14	3	9	10	410	121	12	44	10501	5	2514	9856	3811	3534	6517	11335	7796	1037	10818	8448	8902	1	4	697	214	1059	31	2788	3	0	15	14	1438	1615	4458	2	0	0	378	0	8032	200	0	12	14	3	10368	19	2	5	0	137	16470	0	35	2	13	1	0	7	120	10256	608	0	30	5	1	81	2	2	4	134	670	7	0	122	1	5036	2670	16965	434	9	0	28	178	0	0	0	0	1	2	44	5865	11852	1	5344	2	0	3	4537	4306	17916	697	0	1	14765	1	5	5	3241	0	0	5	5	0	9057	3	0	55	0	21	4	5	5	196	46	2380	440	99	0	0	0	43	6	1	13	0	2	1	12	12101	0	125	182	16	149	114	351	0	5	2	4510	178	1	87	14570	184	178	38	499	0	213	74	2181	7	6	163	12	55	33	0	2	384	91	4	445	0	9	103	0	25	0	147	4	3	3	72	19	3	374	9068	3	1457	8619	0	137	28	2763	198	767	10	0	8	19	2	709	67	1585	0	0	20	0	5375	0	31	392	3	156	6	8	2726	115	1	2	0	19	3564	1	3	10853	0	0	161	156	9	322	0	1	0	8545	4038	14747	6770	897	274	24	1	1663	3	0	0	13844	0	27	21	0	2	0	1066	92	17	24	3173	30	5	7901	18658	256	11	4238	3850	61	11113	10364	0	1848	2	0	29	7	18	0	585	6948	12281	5105	2603	15804	91	27	202	2	5324	0	1769	5	851	1197	8016	5	258	0	0	2396	350	672	8533	4015	307	20276	6234	95	0	23	56	0	40	0	1970	646	7881	5674	13377	49	888	1	3	6	36	104	0	6	1	1	1925	1	13	212	8983	9151	5	7553	91	0	1	11	6605	8	24998	64	15512	732	0	2	12399	91	3	7235	6432	273	16486	1	10	16402	11054	4311	1421	76	732	121	22	0	8963	10753	0	5024	1168	11	5470	0	0	1	1	0	2	0	0	0
NR_024659.1_Streptococcus_peroris_strain_ATCC_700780_16S_ribosomal_RNA_gene__partial_sequence	6	2	14	2013	18	68	10	10	3	101	11	13	143	162	14	0	7	58	5086	0	174	1040	398	2	100	16	22	13	34	44	153	771	4	791	4	0	2	0	7	5	46	149	233	0	9	668	330	7	0	50	7	22	46	0	230	328	231	535	29	63	1480	146	237	4	57	165	303	154	1	171	5	405	2	78	67	82	1	1	22	8	636	308	598	0	48	0	12	1	1	50	100	235	5	248	103	1116	74	13	1	144	95	2869	810	3	68	10	1	34	3	440	19	19	325	702	22	27	2	35	474	61	52	2	26	36	34	332	64	6	180	2	15	39	51	796	0	0	4	4	22	1	7	92	59	32	5	47	366	9	12	629	0	672	80	4	48	2	6	4	0	12	4	386	520	420	8	9	4	283	4	1	1645	28	1	178	1	22	0	12	7	87	1	925	32	14	503	3	539	0	1	0	1	40	0	0	3	27	90	242	2	1	1	306	96	94	1747	40	2	4	0	77	6	2	99	4	364	1	7	118	2	1	0	57	645	0	37	92	13	8	18	226	0	5	4	9	373	18	0	4	1627	431	2129	129	41	42	37	176	381	42	170	299	0	73	317	9	17	17	0	6	31	2	1636	587	171	294	344	0	214	10	1172	15	94	57	44	2082	145	0	618	14	187	5573	26	16	2	2	421	25	15	11	85	314	108	16	28	39	28	4	12	0	6	1	1	45	3	1	1	10	20	314	5	1	0	9	0	2	155	2206	2835	16	2	10	35	0	161	6	0	2	4	1399	1	82	37	41	21	23	92	3	6	533	14	1290	1	47	405	5	4	59	2	576	0	1	22	19	368	15	216	33	86	1276	4	814	220	7	12	3	353	1	18	0	38	51	35	8	0	806	19	221	138	0	5	1371	3	2	0	0	44	926	0	679	1	37	1	1	0	0	0	0	0	1	1	1
NR_024641.1_Pluralibacter_gergoviae_strain_JCM1234_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	1	0	1	0	9	18	0	1	3	0	0	0	8	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	4	50	1	1	0	0	1	14	0	0	1994	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	17	2	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	1	0	0	2	0	0	0	0	3	0	0	0	0	0	1	1	0	0	13	0	5	0	0	0	0	4	0	1	33	9	0	1	0	59	0	0	0	0	0	0	0	0	0	0	1	40	0	0	0	0	0	0	17	2	0	0	0	1	0	30	2	32	0	4574	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	2	11	1	2	21	0	24	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	1	0	0	0	0	0	0	0	160	0	0	0	0	45	1	0	0	0	0	0	0	0	0	3	29	0	0	2	0	1	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1052	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	2	0	1	4	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024634.1_Streptococcus_porcinus_strain_176_16S_ribosomal_RNA_gene__partial_sequence	3	0	0	9	0	0	3	0	0	1	2	0	1	0	0	8	3	0	2	6	2	0	0	8	2	4	0	1	3	1	1	3	2	1	0	1	0	0	0	0	0	0	3	0	2	9	3	0	0	0	6	0	3	0	0	0	0	0	7	0	0	0	0	0	0	6	2	0	0	0	0	0	5	2	1	0	4	0	0	2	0	0	5	2	0	0	0	0	0	1	6	6	4	2	0	0	4	0	0	0	0	0	1	5	5	6	0	1	0	0	0	2	9	0	0	0	0	1	0	0	0	5	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	5	9	2	0	0	0	1	0	0	4	0	7	0	2	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	1	0	0	2	2	0	0	3	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	1	0	0	1	0	2	0	0	0	0	1	1	0	0	9	0	0	0	0	0	5	0	0	0	4	1	9	1	9	0	0	0	3	0	0	0	9	0	0	1	0	1	0	1	1	0	3	4	2	4	1	8	0	5	2	1	3	8	0	0	1	0	0	4	0	0	0	4	5	5	12	1	4	0	3	0	4	3	0	9	0	9	0	0	3	2	0	0	2	0	7	0	4	0	1	0	0	0	0	11	0	0	0	2	7	2	5	2	2	1	3	0	1	1	0	0	0	0	0	1	0	0	0	6	7	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	2	0	3	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	16	2	0	0	0	0	0	0	0	0	0	0
NR_024631.1_Sphingopyxis_chilensis_strain_S37_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024633.1_Streptococcus_canis_strain_STR_T1_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
